_id,case_no,status_dttm,status,code,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude
3105,V589426,2021-11-18 15:15:18,Closed,110.5,Inspections,238,,Webster,ST,East Boston,MA,02128,01,175 MILTON ST,,DORCHESTER,MA,02124,146848.0,42.364864030029736,-71.03204993602873
3106,V589404,2021-11-18 13:04:31,Closed,116,Unsafe Structures,64,,Everett,ST,East Boston,MA,02128,01,64 EVERETT ST,,EAST BOSTON,MA,02128,55168.0,42.36793949050252,-71.03541037372953
3107,V589398,2021-11-18 12:31:29,Closed,107.4,Failed to comply w permit term,238,,Webster,ST,East Boston,MA,02128,01,175 MILTON ST,,DORCHESTER,MA,02124,146848.0,42.364864030029736,-71.03204993602873
3108,V589379,2021-11-18 12:16:51,Closed,116,Unsafe Structures,89,,Munroe,ST,Roxbury,MA,02119,12,89 MUNROE ST,,ROXBURY,MA,02119,99384.0,42.3189095639805,-71.08836060276668
3109,V589372,2021-11-18 11:33:17,Closed,105.1,Failure to Obtain Permit,339,,West,ST,Hyde Park,MA,02136,18,339 WEST ST,,HYDE PARK,MA,02136,147958.0,42.26664962775815,-71.12967081285052
3110,V589365,2021-11-18 11:16:55,Closed,105.1,Failure to Obtain Permit,64,,Partridge,ST,West Roxbury,MA,02132,20,64 PARTRIDGE ST,,WEST ROXBURY,MA,02132,108406.0,42.27287965274751,-71.14761083907224
3111,V589322,2021-11-18 10:09:18,Closed,116,Unsafe Structures,339,,West,ST,Hyde Park,MA,02136,18,339 WEST ST,,HYDE PARK,MA,02136,147958.0,42.26664962775815,-71.12967081285052
3112,V589014,2021-11-16 14:59:37,Open,110.7,Periodic Inspections,246,,Seaver,ST,Dorchester,MA,02121,12,248 METROPOLITAN AVE,,ROSLINDALE,MA,02131,124160.0,42.30681956292178,-71.08700062605857
3113,V588875,2021-11-15 15:52:38,Closed,116,Unsafe Structures,47,53,Farnsworth,ST,Boston,MA,02210,06,2001 ROSS AVENUE SUITE 3400,,DALLAS,TX,75201,56399.0,42.35221328499367,-71.04766159143588
3114,V588869,2021-11-15 14:55:24,Closed,116,Unsafe Structures,5,,Esmond,ST,Dorchester,MA,02121,14,754 BLUE HILL AVE,,BOSTON,MA,02121,165040.0,42.29915329135456,-71.08611742836955
3115,V588806,2021-11-15 11:25:03,Open,105.1,Failure to Obtain Permit,262,,Normandy,ST,Dorchester,MA,02121,14,262 NORMANDY ST,,DORCHESTER,MA,02121,103455.0,42.30423955877488,-71.08355062476257
3116,V588766,2021-11-15 10:56:31,Closed,105.1,Failure to Obtain Permit,339,,Seaver,ST,Dorchester,MA,02121,14,339 Seaver ST,,DORCHESTER,MA,02121,124175.0,42.30474955977275,-71.08367062339995
3117,V588744,2021-11-15 10:02:40,Closed,102.8,Maintenance,339,,Seaver,ST,Dorchester,MA,02121,14,339 Seaver ST,,DORCHESTER,MA,02121,124175.0,42.30474955977275,-71.08367062339995
3118,V588720,2021-11-15 09:15:36,Closed,116,Unsafe Structures,193,,Springfield,ST,Roxbury,MA,02118,04,193 WEST SPRINGFIELD,,BOSTON,MA,02118,129949.0,42.340199549292095,-71.0798705356818
3119,V588504,2021-11-12 15:44:28,Closed,105.1,Failure to Obtain Permit,69,,Highland,ST,Roxbury,MA,02119,11,204 Charles Street,,Waltham,MA,02453,73804.0,42.32743956830865,-71.09287059383993
3120,V588473,2021-11-12 11:09:11,Closed,116,Unsafe Structures,23,,Woodbine,ST,Roxbury,MA,02119,12,20 Woodbine Street,Unit 1,Roxbury,MA,02119,151389.0,42.31898555297349,-71.08013858368656
3121,V588354,2021-11-10 11:38:48,Closed,105.1,Failure to Obtain Permit,5,,Abbotsford,ST,Dorchester,MA,02121,12,5 ABBOTSFORD ST,,DORCHESTER,MA,02121,109.0,42.31453957057461,-71.09285062270187
3122,V588228,2021-11-10 08:46:33,Closed,105.1,Failure to Obtain Permit,70,,Francis,ST,Boston,MA,02115,10,75 Francis St,,Boston,MA,02115,341196.0,42.335849624448336,-71.10804755627093
3123,V588097,2021-11-09 10:44:11,Closed,116,Unsafe Structures,528,,Dorchester,AV,South Boston,MA,02127,07,130 Church ST,,WILMINGTON,MA,01887-2739,48615.0,42.3312495202762,-71.0568005037194
3124,V587621,2021-11-05 14:26:51,Closed,107.4,Failed to comply w permit term,51,,Moseley,ST,Dorchester,MA,02125,13,51 MOSLEY STREET,,DORCHESTER,MA,02135,97911.0,42.320529518063566,-71.05437052238301
3125,V587587,2021-11-05 13:24:00,Closed,116,Unsafe Structures,36,,Magee,ST,Hyde Park,MA,02136,18,36 MAGEE STREET,,HYDE PARK,MA,02136,88220.0,42.26490962526174,-71.12682081000979
3126,V587366,2021-11-04 10:24:03,Closed,105.1,Failure to Obtain Permit,59,,Copeland,ST,Roxbury,MA,02119,12,90A HEMMAN STREET,,ROSLINDALE,MA,02131,42471.0,42.32284955157673,-71.07952057397199
3127,V587182,2021-11-03 10:42:14,Closed,1001.3.2,Testing & Certification,36,,High,ST,Charlestown,MA,02129,02,36 HIGH STREET,,CHARLESTOWN,MA,02129,73388.0,42.376049524848376,-71.06263041755705
3128,V587178,2021-11-03 10:28:47,Closed,1001.3.2,Testing & Certification,38,,High,ST,Charlestown,MA,02129,02,38 HIGH STREET,,CHARLESTOWN,MA,02129,73390.0,42.37606952465329,-71.06271041777428
3129,V587172,2021-11-03 10:13:29,Closed,102.8,Maintenance,198,,Hanover,ST,Boston,MA,02113,03,"75 Holly Hill Lane, Suite 305",,Greenwich,CT,06830,69056.0,42.36299677783766,-71.05585988468445
3130,V587161,2021-11-03 09:15:24,Closed,105.1,Failure to Obtain Permit,237,,Canton,ST,Boston,MA,02116,04,237 WEST CANTON STREET,,BOSTON,MA,02116,25764.0,42.34568954611178,-71.07749051829823
3131,V587112,2021-11-02 15:43:17,Closed,105.1,Failure to Obtain Permit,14,,Putnam,ST,Charlestown,MA,02129,02,14 PUTNAM ST,,CHARLESTOWN,MA,02129,113596.0,42.373647521342285,-71.05991741684034
